,0,1
0,2016-02-17 19:27:49.310302734,1.0
1,2016-02-17 19:27:49.810333252,0.0
2,2016-02-17 19:28:41.013458252,0.0
3,2016-02-17 19:29:19.615814209,0.0
4,2016-02-17 19:30:07.218719482,0.0
5,2016-02-17 19:32:14.326477051,0.0
6,2016-02-17 19:32:42.928222656,0.0
7,2016-02-17 20:26:21.904968262,0.0
8,2016-02-17 20:28:28.112670898,0.0
9,2016-02-17 20:29:56.718078613,0.0
10,2016-02-17 21:25:41.702514648,0.0
11,2016-02-17 21:30:01.718383789,0.0
12,2016-02-17 21:34:20.034149170,0.0
13,2016-02-17 21:35:08.337097168,0.0
14,2016-02-17 21:36:02.440399170,0.0
15,2016-02-17 22:28:23.412384033,0.0
16,2016-02-17 22:28:29.412750244,0.0
17,2016-02-17 22:31:25.923522949,0.0
18,2016-02-17 22:32:36.827850342,0.0
19,2016-02-17 22:34:23.834381104,0.0
20,2016-02-17 23:25:34.302062988,0.0
21,2016-02-17 23:25:35.702148438,0.0
22,2016-02-17 23:28:01.511047363,0.0
23,2016-02-17 23:28:02.611114502,0.0
24,2016-02-17 23:29:08.215118408,0.0
25,2016-02-17 23:32:19.626800537,0.0
26,2016-02-17 23:33:00.729309082,0.0
27,2016-02-17 23:33:55.832672119,0.0
28,2016-02-17 23:35:45.339355469,0.0
29,2016-02-18 00:29:14.315490723,0.0
30,2016-02-18 00:29:22.916015625,0.0
31,2016-02-18 00:31:37.424224854,0.0
32,2016-02-18 00:32:51.628753662,0.0
33,2016-02-18 00:33:22.330627441,0.0
34,2016-02-18 00:33:45.232025146,0.0
35,2016-02-18 00:34:50.836029053,0.0
36,2016-02-18 00:35:49.239593506,0.0
37,2016-02-18 01:28:48.713928223,0.0
38,2016-02-18 01:28:49.413970947,0.0
39,2016-02-18 01:28:49.713989258,0.0
40,2016-02-18 01:29:58.818206787,0.0
41,2016-02-18 01:30:23.919738770,0.0
42,2016-02-18 01:32:36.127807617,
43,2016-02-18 01:32:45.228363037,
44,2016-02-18 01:33:27.030914307,
45,2016-02-18 01:34:25.934509277,
46,2016-02-18 01:34:28.034637451,
47,2016-02-18 01:36:08.040740967,
48,2016-02-18 02:25:42.702575684,
49,2016-02-18 02:26:40.806121826,
50,2016-02-18 02:28:27.512634277,
51,2016-02-18 02:29:23.316040039,
52,2016-02-18 02:30:41.020782471,
53,2016-02-18 02:31:28.523681641,
54,2016-02-18 02:33:51.232391357,
55,2016-02-18 02:34:26.534545897,
56,2016-02-18 02:35:30.038421631,
57,2016-02-18 02:35:31.838531494,
58,2016-02-18 02:35:57.840118408,
59,2016-02-18 03:31:25.723510742,
60,2016-02-18 04:25:49.803009033,
61,2016-02-18 04:27:04.507568358,
